PID;COMMAND;%CPU(TRUNCATE);TIME;MEM(MB)
37891;java;0;00:01.29;115
37891;java;258;00:03.93;130
37891;java;193;00:05.91;146
37891;java;170;00:07.65;147
37891;java;137;00:09.06;148
37891;java;106;00:10.16;140
37891;java;41;00:10.58;140
37891;java;32;00:10.92;140
37891;java;32;00:11.25;140
37891;java;30;00:11.56;140
37891;java;31;00:11.89;140
37891;java;29;00:12.19;141
37891;java;28;00:12.48;141
37891;java;30;00:12.79;141
37891;java;30;00:13.11;141
37891;java;31;00:13.44;140
37891;java;36;00:13.81;140
37891;java;32;00:14.14;140
37891;java;30;00:14.45;140
37891;java;37;00:14.83;140
37891;java;28;00:15.12;140
37891;java;28;00:15.41;140
37891;java;31;00:15.73;140
37891;java;30;00:16.04;140
37891;java;30;00:16.36;140
37891;java;30;00:16.68;140
37891;java;31;00:17.00;140
37891;java;31;00:17.32;140
37891;java;30;00:17.63;140
37891;java;30;00:17.94;140
37891;java;31;00:18.26;140
37891;java;28;00:18.55;140
37891;java;30;00:18.86;140
37891;java;31;00:19.18;140
37891;java;30;00:19.50;140
37891;java;31;00:19.82;140
37891;java;31;00:20.15;140
37891;java;31;00:20.46;140
37891;java;31;00:20.79;140
37891;java;31;00:21.11;140
37891;java;29;00:21.41;140
37891;java;28;00:21.70;140
37891;java;30;00:22.01;140
37891;java;31;00:22.33;140
37891;java;31;00:22.65;140
37891;java;31;00:22.97;140
37891;java;30;00:23.29;140
37891;java;31;00:23.61;140
37891;java;31;00:23.93;140
37891;java;30;00:24.25;140
37891;java;27;00:24.53;141
37891;java;28;00:24.83;141
37891;java;32;00:25.16;141
37891;java;32;00:25.49;141
37891;java;31;00:25.81;141
37891;java;32;00:26.15;141
37891;java;32;00:26.48;141
37891;java;31;00:26.80;141
37891;java;32;00:27.13;141
37891;java;29;00:27.43;141
37891;java;28;00:27.72;141
37891;java;31;00:28.04;141
37891;java;32;00:28.37;141
37891;java;31;00:28.70;141
37891;java;31;00:29.02;141
37891;java;32;00:29.36;141
37891;java;31;00:29.68;141
37891;java;31;00:30.00;141
37891;java;31;00:30.32;141
37891;java;28;00:30.61;141
37891;java;28;00:30.90;141
37891;java;28;00:31.20;141
37891;java;31;00:31.52;141
37891;java;31;00:31.84;141
37891;java;30;00:32.16;141
37891;java;32;00:32.49;141
37891;java;31;00:32.81;141
37891;java;31;00:33.13;141
37891;java;31;00:33.45;141
37891;java;29;00:33.76;141
37891;java;23;00:34.00;141
37891;java;21;00:34.22;141
37891;java;25;00:34.48;141
37891;java;30;00:34.78;141
37891;java;27;00:35.07;141
37891;java;29;00:35.38;141
37891;java;28;00:35.67;141
37891;java;30;00:35.98;141
37891;java;29;00:36.28;141
37891;java;29;00:36.58;141
37891;java;22;00:36.81;141
37891;java;19;00:37.00;141
37891;java;21;00:37.22;141
37891;java;22;00:37.45;141
37891;java;20;00:37.66;141
37891;java;20;00:37.87;141
37891;java;30;00:38.19;141
37891;java;30;00:38.50;141
37891;java;29;00:38.80;141
37891;java;30;00:39.11;141
37891;java;30;00:39.42;141
37891;java;18;00:39.61;141
37891;java;21;00:39.82;141
37891;java;20;00:40.04;141
37891;java;19;00:40.24;141
37891;java;19;00:40.44;141
37891;java;20;00:40.65;141
37891;java;26;00:40.93;141
37891;java;29;00:41.23;141
37891;java;27;00:41.50;142
37891;java;27;00:41.78;142
37891;java;28;00:42.08;142
37891;java;26;00:42.34;142
37891;java;17;00:42.52;142
37891;java;20;00:42.73;142
37891;java;19;00:42.93;142
37891;java;19;00:43.13;142
37891;java;20;00:43.34;142
37891;java;20;00:43.55;142
37891;java;21;00:43.77;142
37891;java;29;00:44.07;142
37891;java;30;00:44.39;142
37891;java;29;00:44.69;142
37891;java;29;00:44.99;142
37891;java;29;00:45.29;142
37891;java;17;00:45.48;142
37891;java;25;00:45.73;142
37891;java;22;00:45.96;142
37891;java;25;00:46.23;142
37891;java;26;00:46.49;142
37891;java;25;00:46.76;142
